host,service,plot,type,x,y,unit
google,PING,rta,max,1389376800,0.03788,time
google,PING,rta,max,1389398400,0.03718,time
google,PING,rta,max,1389420000,0.01296,time
google,PING,rta,max,1389441600,0.02489,time
google,PING,rta,max,1389463200,0.0344,time
google,PING,rta,max,1389484800,0.03624,time
google,PING,rta,max,1389506400,0.03699,time
google,PING,rta,max,1389528000,0.18693,time
google,PING,rta,max,1389549600,0.1853,time
google,PING,rta,max,1389571200,0.01103,time
google,PING,rta,max,1389592800,0.18215,time
google,PING,rta,max,1389614400,0.1833,time
google,PING,rta,max,1389636000,0.04352,time
google,PING,rta,max,1389657600,0.03717,time
google,PING,rta,max,1389679200,0.038,time
google,PING,rta,max,1389700800,0.03594,time
google,PING,rta,max,1389722400,0.03872,time
google,PING,rta,max,1389744000,0.03682,time
google,PING,rta,max,1389765600,0.0369,time
google,PING,rta,max,1389787200,0.04278,time
google,PING,rta,max,1389808800,0.5,time
google,PING,rta,max,1389830400,0.5,time
google,PING,rta,max,1389852000,0.01049,time
google,PING,rta,max,1389873600,0.05141,time
google,PING,rta,max,1389895200,0.05702,time
google,PING,rta,max,1389916800,0.01077,time
google,PING,rta,max,1389938400,0.00943,time
google,PING,rta,max,1389960000,0.04422,time
google,PING,rta,max,1389981600,0.03747,time
google,PING,rta,max,1390003200,0.00946,time
google,PING,rta,max,1390024800,0.03626,time
google,PING,rta,max,1390046400,0.18139,time
google,PING,rta,max,1390068000,0.03747,time
google,PING,rta,max,1390089600,0.00946,time
google,PING,rta,max,1390111200,0.03602,time
google,PING,rta,max,1390132800,0.18161,time
google,PING,rta,max,1390154400,0.18271,time
google,PING,rta,max,1390176000,0.0378,time
google,PING,rta,max,1390197600,0.00992,time
google,PING,rta,max,1390219200,0.18396,time
google,PING,rta,max,1390240800,0.03359,time
google,PING,rta,max,1390262400,0.0093,time
google,PING,rta,max,1390284000,0.18222,time
google,PING,rta,max,1390305600,0.18265,time
google,PING,rta,max,1390327200,0.18285,time
google,PING,rta,max,1390348800,0.0362,time
google,PING,rta,max,1390370400,0.01005,time
google,PING,rta,max,1390392000,0.02723,time
google,PING,rta,max,1390413600,0.03874,time
google,PING,rta,max,1390435200,0.03578,time
google,PING,rta,max,1390456800,0.0114,time
google,PING,rta,max,1390478400,0.03692,time
google,PING,rta,max,1390500000,0.03826,time
google,PING,rta,max,1390521600,0.03819,time
google,PING,rta,max,1390543200,0.0094,time
google,PING,rta,max,1390564800,0.04778,time
google,PING,rta,max,1390586400,0.18311,time
google,PING,rta,max,1390608000,0.00904,time
google,PING,rta,max,1390629600,0.03397,time
google,PING,rta,max,1390651200,0.05003,time
google,PING,rta,max,1390672800,0.21637,time
google,PING,rta,max,1390694400,0.00937,time
google,PING,rta,max,1390716000,0.0537,time
google,PING,rta,max,1390737600,0.18297,time
google,PING,rta,max,1390759200,0.04107,time
google,PING,rta,max,1390780800,0.00908,time
google,PING,rta,max,1390802400,0.01289,time
google,PING,rta,max,1390824000,0.02984,time
google,PING,rta,max,1390845600,0.18596,time
google,PING,rta,avg,1389376800,0.01852,time
google,PING,rta,avg,1389398400,0.02402,time
google,PING,rta,avg,1389420000,0.00858,time
google,PING,rta,avg,1389441600,0.01171,time
google,PING,rta,avg,1389463200,0.01332,time
google,PING,rta,avg,1389484800,0.01403,time
google,PING,rta,avg,1389506400,0.02051,time
google,PING,rta,avg,1389528000,0.05738,time
google,PING,rta,avg,1389549600,0.07932,time
google,PING,rta,avg,1389571200,0.00784,time
google,PING,rta,avg,1389592800,0.02384,time
google,PING,rta,avg,1389614400,0.02585,time
google,PING,rta,avg,1389636000,0.03676,time
google,PING,rta,avg,1389657600,0.03569,time
google,PING,rta,avg,1389679200,0.03564,time
google,PING,rta,avg,1389700800,0.03565,time
google,PING,rta,avg,1389722400,0.03635,time
google,PING,rta,avg,1389744000,0.03576,time
google,PING,rta,avg,1389765600,0.03588,time
google,PING,rta,avg,1389787200,0.0311,time
